Ticker,date,Risk,Sentiment,SanctionExposure,San_temp,SanctionRisk,SanctionSentiment,Total words,FirmTicker
ورازی,2018-04-17,0.0,-11111.111111111111,0.0,0.0,0.0,0.0,9,ورازي
وسرمد,2018-09-09,0.0,-11111.111111111111,0.0,0.0,0.0,0.0,9,وسرمد
ذخفولا,nodate,0.0,-11428.57142857143,0.0,0.0,0.0,0.0,105,
دریشمک,2018-07-02,0.0,-11111.111111111111,0.0,0.0,0.0,0.0,9,
کاوه,2018-08-11,782.4726134585289,-9780.907668231612,391.23630672926447,234.7417840375587,0.0,-625.9780907668231,1278,كاوه
واحصا,2018-08-11,0.0,-11111.111111111111,0.0,0.0,0.0,0.0,9,واحصا
ثتوسا,2018-07-14,0.0,-11111.111111111111,0.0,0.0,0.0,0.0,9,ثتوسا
فاراک,2018-08-27,0.0,-9183.673469387755,0.0,0.0,0.0,0.0,98,فاراك
واحصا,2018-09-09,0.0,-11111.111111111111,0.0,0.0,0.0,0.0,9,واحصا
چافست,2018-08-29,291.5451895043732,-11370.262390670554,0.0,0.0,0.0,0.0,343,چافست
جم,2018-08-08,536.6726296958855,-14311.270125223611,0.0,0.0,0.0,0.0,559,جم
غصینو,nodate,1421.8009478672986,-7582.938388625593,0.0,0.0,0.0,0.0,422,غصينو
سخواف,nodate,,,,,,,0,سخواف
شلرد,2018-09-10,0.0,-11111.111111111111,0.0,0.0,0.0,0.0,9,شلرد
غمارک,nodate,2083.333333333333,-15972.22222222222,0.0,0.0,0.0,0.0,432,
حبندر,2018-09-04,1025.6410256410256,-11282.05128205128,1025.6410256410256,512.8205128205128,256.4102564102564,-1794.871794871795,390,حبندر
کفپارس,2018-09-09,1126.7605633802818,-12676.05633802817,0.0,0.0,0.0,0.0,355,كفپارس
واحیا,2018-06-27,611.353711790393,-11266.375545851528,87.33624454148472,87.33624454148472,0.0,-262.0087336244542,1145,واحيا
فملی,2018-08-11,1100.8366358432409,-11096.433289299868,748.5689123734038,440.33465433729634,220.16732716864817,-1365.0374284456186,2271,فملي
پارسان,2018-08-11,1361.573373676248,-10892.586989409983,0.0,0.0,0.0,0.0,661,پارسان
فسپا,2018-08-07,0.0,-11111.111111111111,0.0,0.0,0.0,0.0,9,فسپا
نیرو,2018-08-21,0.0,-11111.111111111111,0.0,0.0,0.0,0.0,9,نيرو
زاگرس,2018-08-07,1577.2870662460568,-6624.605678233438,630.9148264984227,630.9148264984227,315.45741324921136,-1577.2870662460568,317,زاگرس
شغدیر,2018-08-20,0.0,-11111.111111111111,0.0,0.0,0.0,0.0,9,شغدير
کروی,2018-10-02,2303.7542662116043,-12372.013651877132,853.2423208191126,511.9453924914676,341.29692832764505,-2047.7815699658704,1172,كروي
کالا,2018-10-01,602.4096385542169,-8433.734939759037,0.0,0.0,0.0,0.0,166,كالا
دفرا,2018-10-03,1361.256544502618,-12670.157068062828,0.0,0.0,0.0,0.0,955,دفرا
سجام,2018-10-02,0.0,-11111.111111111111,0.0,0.0,0.0,0.0,9,سجام
وپست,2018-10-01,0.0,-8333.333333333332,0.0,0.0,0.0,0.0,12,وپست
وخاور,2018-10-01,1151.8324607329844,-10471.204188481675,942.4083769633507,523.5602094240838,209.42408376963357,-1047.1204188481677,955,وخاور
شگل,2018-10-01,857.843137254902,-5147.058823529412,245.09803921568627,245.09803921568627,0.0,-490.1960784313725,816,شگل
وبوعلی,2018-10-02,0.0,-15789.473684210525,0.0,0.0,0.0,0.0,19,وبوعلي
سدبیر,2018-10-03,0.0,-15789.473684210525,0.0,0.0,0.0,0.0,19,سدبير
گکوثر,2018-09-30,1515.1515151515152,-9090.909090909092,0.0,0.0,0.0,0.0,264,گكوثر
فرابورس,2018-10-03,0.0,-9090.909090909092,0.0,0.0,0.0,0.0,11,فرابورس
غفارس,2018-10-08,1851.851851851852,-8148.148148148149,740.7407407407408,740.7407407407408,740.7407407407408,-1111.111111111111,270,غفارس
افرا,2018-10-03,0.0,-12500.0,0.0,0.0,0.0,0.0,16,افرا
وسین,2018-10-07,1630.4347826086955,-11956.521739130434,0.0,0.0,0.0,0.0,184,وسين
ختوقا,2018-10-03,0.0,-22222.222222222223,0.0,0.0,0.0,0.0,9,ختوقا
سخاش,2018-10-07,817.4386920980926,-13351.49863760218,0.0,0.0,0.0,0.0,734,سخاش
دارو,2018-10-02,1739.1304347826087,-12173.91304347826,57.971014492753625,0.0,0.0,0.0,1725,دارو
کپرور,2018-10-03,617.283950617284,-9753.086419753086,493.8271604938272,493.8271604938272,123.45679012345678,-987.6543209876544,810,كپرور
شسینا,2018-10-02,0.0,-28571.42857142857,0.0,0.0,0.0,0.0,7,شسينا
حخزر,2018-10-01,609.7560975609756,-13795.731707317074,381.0975609756098,0.0,0.0,0.0,1312,حخزر
بکهنوج,2018-10-01,615.3846153846154,-8615.384615384615,0.0,0.0,0.0,0.0,975,بكهنوج
گکیش,2018-10-03,0.0,-11111.111111111111,0.0,0.0,0.0,0.0,9,گكيش
شکربن,2018-10-01,452.4886877828055,-11085.972850678734,452.4886877828055,452.4886877828055,452.4886877828055,-2488.6877828054303,442,شكربن
قجام,2018-10-06,3636.363636363637,-13333.333333333334,0.0,0.0,0.0,0.0,165,قجام
کپرور,2018-10-04,729.9270072992701,-9854.014598540149,486.61800486618006,486.61800486618006,121.654501216545,-973.23600973236,822,كپرور
شنفت,2018-10-02,1007.3260073260074,-11813.186813186812,641.025641025641,274.72527472527474,274.72527472527474,-1098.901098901099,1092,شنفت
شلعاب,2018-10-03,0.0,-14285.714285714284,0.0,0.0,0.0,0.0,7,شلعاب
ثمسکن,2018-10-03,591.7159763313609,-13609.4674556213,0.0,0.0,0.0,0.0,169,ثمسكن
ثتوسا,2018-10-02,0.0,-11111.111111111111,0.0,0.0,0.0,0.0,9,ثتوسا
سجام,2018-10-02,0.0,-11111.111111111111,0.0,0.0,0.0,0.0,9,سجام
ثالوند,2018-10-01,870.6467661691543,-12064.676616915423,0.0,0.0,0.0,0.0,804,ثالوند
وبیمه,2018-10-02,0.0,-12903.225806451614,0.0,0.0,0.0,0.0,93,وبيمه
شپاس,2018-10-02,0.0,-20000.0,0.0,0.0,0.0,0.0,10,شپاس
پتایر,2018-10-01,756.8590350047303,-10028.382213812678,94.6073793755913,94.6073793755913,94.6073793755913,-283.8221381267739,1057,پتاير
سغرب,2018-10-02,1377.4104683195592,-7438.01652892562,0.0,0.0,0.0,0.0,363,سغرب
کوثر,2018-10-01,1460.8233731739706,-11155.378486055775,0.0,0.0,0.0,0.0,753,كوثر
تاپیکو,2018-10-01,584.0363400389357,-9279.688513951978,64.89292667099286,64.89292667099286,64.89292667099286,-194.67878001297856,1541,تاپيكو
شتران,2018-10-01,2295.684113865932,-10284.664830119376,367.30945821854914,367.30945821854914,367.30945821854914,-1377.4104683195592,1089,شتران
